gesture,shape l (SC),shape l (SS),shape l (SQ),shape l (SD),shape l (SO),shape r (SC),shape r (SS),shape r (SQ),shape r (SD),shape r (SO),hands (HU),hands (HB),direction (DS),direction (DD),symmetry (S),symmetry (A)
PanDown,0.0%,14.4%,25.6%,60.0%,0.0%,0.0%,24.0%,72.0%,4.0%,0.0%,64.0%,36.0%,28.0%,72.0%,24.0%,76.0%
PanLeft,0.0%,7.2%,54.4%,38.4%,0.0%,0.0%,9.6%,83.2%,7.2%,0.0%,45.6%,54.4%,20.0%,80.0%,12.0%,88.0%
PanRight,0.0%,4.0%,48.0%,47.2%,0.8%,0.8%,12.0%,84.0%,2.4%,0.8%,48.8%,51.2%,26.4%,73.6%,10.4%,89.6%
PanUp,0.0%,8.0%,28.0%,64.0%,0.0%,0.0%,19.2%,76.0%,4.8%,0.0%,63.2%,36.8%,28.8%,71.2%,25.6%,74.4%
RotBackX,4.8%,50.4%,4.8%,40.0%,0.0%,21.6%,65.6%,12.8%,0.0%,0.0%,40.0%,60.0%,44.0%,56.0%,34.4%,65.6%
RotClockwiseY,4.8%,60.0%,10.4%,20.8%,4.0%,20.0%,72.0%,6.4%,0.0%,1.6%,20.8%,79.2%,12.8%,87.2%,0.0%,100.0%
RotCounterY,4.8%,37.6%,32.8%,21.6%,0.0%,22.4%,67.2%,8.8%,1.6%,0.0%,27.2%,72.8%,8.0%,92.0%,0.0%,100.0%
RotForwardX,4.0%,38.4%,16.8%,40.8%,0.0%,26.4%,53.6%,19.2%,0.0%,0.8%,39.2%,60.8%,32.8%,67.2%,32.0%,68.0%
RotLeftZ,0.0%,39.2%,35.2%,11.2%,14.4%,0.0%,36.0%,28.0%,36.0%,0.0%,20.0%,80.0%,14.4%,85.6%,0.0%,100.0%
RotRightZ,0.8%,20.0%,33.6%,45.6%,0.0%,12.0%,42.4%,45.6%,0.0%,0.0%,37.6%,62.4%,4.0%,96.0%,0.0%,100.0%
ZoomIn,0.8%,0.0%,96.8%,2.4%,0.0%,0.0%,0.8%,99.2%,0.0%,0.0%,3.2%,96.8%,0.8%,99.2%,66.4%,33.6%
ZoomOut,0.0%,1.6%,97.6%,0.8%,0.0%,0.8%,0.8%,98.4%,0.0%,0.0%,0.0%,100.0%,8.0%,92.0%,70.4%,29.6%
