time,absolute_time,left_handed,right_handed,trigger_pull_amount_left,trigger_pull_amount_right,gesture_counter_UI,x_pressed,x_counter,gesture_counter,r_controller_translation_x,r_controller_translation_y,r_controller_translation_z,r_controller_rotation_x,r_controller_rotation_y,r_controller_rotation_z,r_controller_rotation_w,l_controller_translation_x,l_controller_translation_y,l_controller_translation_z,l_controller_rotation_x,l_controller_rotation_y,l_controller_rotation_z,l_controller_rotation_w,head_translation_x,head_translation_y,head_translation_z,head_rotation_x,head_rotation_y,head_rotation_z,head_rotation_w,pointer_translation_x,pointer_translation_y,pointer_translation_z,pointer_rotation_x,pointer_rotation_y,pointer_rotation_z,pointer_rotation_w,object_type,object_translation_x,object_translation_y,object_translation_z,object_rotation_x,object_rotation_y,object_rotation_z,object_rotation_w,activity
17.84449005,15:25:4:474,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.081,1.262,-0.193,-0.002,0.004,1,0.017,0.008,-0.003,0.054,0.216,0,0,0.976,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.86755371,15:25:4:497,0,0,0,0,0,FALSE,0,0,-0.399,0.864,0.223,-0.122,0.069,0.988,0.067,-0.063,0.617,0.071,0.162,-0.09,0.969,0.166,-0.081,1.262,-0.193,-0.002,0.003,1,0.016,-0.405,0.868,0.277,0.147,-0.134,-0.039,0.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.88964844,15:25:4:520,0,0,0,0,0,FALSE,0,0,-0.399,0.864,0.223,-0.122,0.068,0.988,0.067,-0.063,0.617,0.071,0.162,-0.09,0.969,0.166,-0.081,1.262,-0.192,-0.002,0.004,1,0.016,-0.405,0.868,0.277,0.147,-0.134,-0.039,0.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.91054916,15:25:4:540,0,0,0,0,0,FALSE,0,0,-0.399,0.864,0.223,-0.122,0.068,0.988,0.068,-0.063,0.617,0.071,0.162,-0.09,0.969,0.166,-0.081,1.262,-0.192,-0.002,0.004,1,0.016,-0.405,0.868,0.277,0.147,-0.134,-0.04,0.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.9125042,15:25:4:542,0,0,0,0,0,FALSE,0,0,-0.399,0.864,0.223,-0.123,0.069,0.988,0.067,-0.063,0.617,0.071,0.162,-0.09,0.969,0.166,-0.081,1.262,-0.192,-0.002,0.004,1,0.017,-0.405,0.869,0.277,0.146,-0.134,-0.039,0.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.91814232,15:25:4:548,0,0,0,0,0,FALSE,0,0,-0.399,0.864,0.223,-0.123,0.07,0.988,0.066,-0.063,0.617,0.071,0.162,-0.09,0.968,0.167,-0.081,1.262,-0.192,-0.001,0.004,1,0.017,-0.405,0.869,0.277,0.146,-0.134,-0.038,0.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.9395237,15:25:4:570,0,0,0,0,0,FALSE,0,0,-0.399,0.864,0.223,-0.123,0.07,0.988,0.066,-0.063,0.617,0.071,0.162,-0.089,0.968,0.167,-0.081,1.262,-0.192,-0.001,0.004,1,0.017,-0.405,0.869,0.277,0.145,-0.134,-0.038,0.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.94844627,15:25:4:579,0,0,0,0,0,FALSE,0,0,-0.399,0.864,0.223,-0.123,0.069,0.988,0.066,-0.063,0.617,0.071,0.162,-0.089,0.969,0.166,-0.081,1.262,-0.193,-0.001,0.004,1,0.017,-0.405,0.869,0.277,0.146,-0.135,-0.038,0.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.96043777,15:25:4:590,0,0,0,0,0,FALSE,0,0,-0.399,0.864,0.223,-0.123,0.069,0.988,0.067,-0.063,0.617,0.071,0.162,-0.09,0.969,0.166,-0.081,1.262,-0.193,-0.002,0.004,1,0.017,-0.405,0.869,0.277,0.147,-0.134,-0.039,0.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.97480011,15:25:4:605,0,0,0,0,0,FALSE,0,0,-0.399,0.864,0.223,-0.122,0.068,0.988,0.068,-0.063,0.617,0.071,0.162,-0.09,0.969,0.165,-0.081,1.262,-0.192,-0.002,0.004,1,0.017,-0.404,0.869,0.277,0.147,-0.134,-0.04,0.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
